item_id,fold,model,mae,rmse,status
HOBBIES_1_348,1,SARIMAX,5.258435987872315,6.924382483484764,success
HOBBIES_1_348,1,LSTM,5.445925235748291,6.687594404178151,success
HOBBIES_1_348,1,LightGBM,0.7873833831077968,1.4340281124135377,success
HOBBIES_1_348,1,StackingEnsemble,0.7873833831077968,1.4340281124135377,success
HOBBIES_1_348,2,SARIMAX,7.149397563176046,8.229510896559127,success
HOBBIES_1_348,2,LSTM,6.3498616218566895,7.278608768120817,success
HOBBIES_1_348,2,LightGBM,0.7347501476709559,1.547139918277594,success
HOBBIES_1_348,2,StackingEnsemble,0.7347501476709559,1.547139918277594,success
HOBBIES_1_348,3,SARIMAX,6.087793959907293,9.189870340763406,success
HOBBIES_1_348,3,LSTM,6.555992126464844,9.4174486583893,success
HOBBIES_1_348,3,LightGBM,0.961502600746417,1.7150650493948927,success
HOBBIES_1_348,3,StackingEnsemble,0.961502600746417,1.7150650493948927,success
HOBBIES_1_348,4,SARIMAX,6.637960577492176,9.113625920612469,success
HOBBIES_1_348,4,LSTM,7.260908126831055,9.316031995889531,success
HOBBIES_1_348,4,LightGBM,1.1421323700491472,2.315028248285477,success
HOBBIES_1_348,4,StackingEnsemble,1.1421323700491717,2.3150282482854974,success
HOBBIES_1_348,5,SARIMAX,6.808710484402309,11.867599809883904,success
HOBBIES_1_348,5,LSTM,6.7696051597595215,11.879419407898267,success
HOBBIES_1_348,5,LightGBM,1.5132478823344415,2.6399245548263024,success
HOBBIES_1_348,5,StackingEnsemble,1.5132478823344562,2.639924554826325,success
HOBBIES_1_371,1,SARIMAX,7.377927250564604,9.864429493101694,success
HOBBIES_1_371,1,LSTM,7.709124565124512,9.439217316460262,success
HOBBIES_1_371,1,LightGBM,1.9019803823343922,3.0599731477421783,success
HOBBIES_1_371,1,StackingEnsemble,2.1798871599059053,3.0344244405424057,success
HOBBIES_1_371,2,SARIMAX,7.371972493691646,10.008725427427049,success
HOBBIES_1_371,2,LSTM,7.143745422363281,9.647473936577056,success
HOBBIES_1_371,2,LightGBM,2.7308588206244466,4.00538274133839,success
HOBBIES_1_371,2,StackingEnsemble,2.5160711655484223,3.4544750624075378,success
HOBBIES_1_371,3,SARIMAX,7.358286502929638,8.314815374636666,success
HOBBIES_1_371,3,LSTM,6.145906925201416,7.099896293205104,success
HOBBIES_1_371,3,LightGBM,2.104905140870326,3.161895741176049,success
HOBBIES_1_371,3,StackingEnsemble,1.9449031051999943,3.069100470561726,success
HOBBIES_1_371,4,SARIMAX,7.236151683696343,8.946945294886865,success
HOBBIES_1_371,4,LSTM,7.065835952758789,8.753918451575611,success
HOBBIES_1_371,4,LightGBM,2.108268780306095,3.7474565021597748,success
HOBBIES_1_371,4,StackingEnsemble,2.125195682065358,3.7170777775609443,success
HOBBIES_1_371,5,SARIMAX,10.004504339336526,12.203501671967887,success
HOBBIES_1_371,5,LSTM,10.050789833068848,12.939047310853299,success
HOBBIES_1_371,5,LightGBM,2.1034862680844304,3.2800213287091387,success
HOBBIES_1_371,5,StackingEnsemble,2.1034862680844304,3.2800213287091387,success
HOBBIES_1_268,1,SARIMAX,8.756252944807809,11.158348271834077,success
HOBBIES_1_268,1,LSTM,8.472715377807617,11.743528491291757,success
HOBBIES_1_268,1,LightGBM,2.2318771296502584,3.7542580025263987,success
HOBBIES_1_268,1,StackingEnsemble,2.23187712965029,3.754258002526387,success
HOBBIES_1_268,2,SARIMAX,10.518071471761683,12.24451349066525,success
HOBBIES_1_268,2,LSTM,8.566298484802246,11.839687163885365,success
HOBBIES_1_268,2,LightGBM,1.6697142538280303,2.803218556941406,success
HOBBIES_1_268,2,StackingEnsemble,1.6697142538280978,2.803218556941402,success
HOBBIES_1_268,3,SARIMAX,10.410727567740619,12.195896529104807,success
HOBBIES_1_268,3,LSTM,8.605862617492676,12.318043966203414,success
HOBBIES_1_268,3,LightGBM,2.092167669797237,3.32968738965095,success
HOBBIES_1_268,3,StackingEnsemble,2.092167669797265,3.3296873896509758,success
HOBBIES_1_268,4,SARIMAX,11.116022047765403,15.400793046887232,success
HOBBIES_1_268,4,LSTM,11.236943244934082,15.35613302668361,success
HOBBIES_1_268,4,LightGBM,2.789888202956788,4.886399162069764,success
HOBBIES_1_268,4,StackingEnsemble,2.789888202956788,4.886399162069764,success
HOBBIES_1_268,5,SARIMAX,11.121710300958743,16.758345834408725,success
HOBBIES_1_268,5,LSTM,11.174206733703613,16.44659010031363,success
HOBBIES_1_268,5,LightGBM,3.6084359181934285,7.055685176995376,success
HOBBIES_1_268,5,StackingEnsemble,3.608435918193563,7.055685176995527,success
HOBBIES_1_178,1,SARIMAX,4.441670266940657,5.3995743196434915,success
HOBBIES_1_178,1,LSTM,4.087737083435059,5.325662440972077,success
HOBBIES_1_178,1,LightGBM,1.1863297051423802,2.1078046284729774,success
HOBBIES_1_178,1,StackingEnsemble,1.1863297051423847,2.107804628472976,success
HOBBIES_1_178,2,SARIMAX,4.979322662560078,6.559985390032629,success
HOBBIES_1_178,2,LSTM,4.762857913970947,6.193587882098024,success
HOBBIES_1_178,2,LightGBM,0.8290877379120675,1.5623330511562106,success
HOBBIES_1_178,2,StackingEnsemble,0.8290877379120675,1.5623330511562106,success
HOBBIES_1_178,3,SARIMAX,7.369299789032866,14.783599175044994,success
HOBBIES_1_178,3,LSTM,7.4676713943481445,14.838050920756173,success
HOBBIES_1_178,3,LightGBM,1.9744179137321447,5.451392579011428,success
HOBBIES_1_178,3,StackingEnsemble,1.9744179137321447,5.451392579011428,success
HOBBIES_1_178,4,SARIMAX,5.932996572406636,8.9018342808029,success
HOBBIES_1_178,4,LSTM,5.933450222015381,8.810247038582935,success
HOBBIES_1_178,4,LightGBM,1.2837613819395621,2.213798209679079,success
HOBBIES_1_178,4,StackingEnsemble,1.2837613819395761,2.213798209679094,success
HOBBIES_1_178,5,SARIMAX,5.765105519033871,10.00422082776586,success
HOBBIES_1_178,5,LSTM,6.089563369750977,9.84891590019834,success
HOBBIES_1_178,5,LightGBM,1.2272251614209613,2.2782378379975694,success
HOBBIES_1_178,5,StackingEnsemble,1.2272251614209613,2.2782378379975694,success
HOBBIES_1_256,1,SARIMAX,3.7138947053272964,4.361218194023781,success
HOBBIES_1_256,1,LSTM,3.200200080871582,3.885028291302233,success
HOBBIES_1_256,1,LightGBM,2.1185775809484144,5.47020786712763,success
HOBBIES_1_256,1,StackingEnsemble,2.1185775809484153,5.47020786712763,success
HOBBIES_1_256,2,SARIMAX,3.323069156273497,4.661453710423579,success
HOBBIES_1_256,2,LSTM,3.399087429046631,4.629698763578413,success
HOBBIES_1_256,2,LightGBM,2.301839731056231,5.307579760329751,success
HOBBIES_1_256,2,StackingEnsemble,2.301839731056231,5.307579760329751,success
HOBBIES_1_256,3,SARIMAX,5.157227850406267,7.28676435176956,success
HOBBIES_1_256,3,LSTM,4.990531921386719,7.254796250345919,success
HOBBIES_1_256,3,LightGBM,1.963987338739478,5.4828186584225405,success
HOBBIES_1_256,3,StackingEnsemble,1.9696178777940048,5.469897645930744,success
HOBBIES_1_256,4,SARIMAX,4.5499246921399275,5.780254110229462,success
HOBBIES_1_256,4,LSTM,3.89644455909729,5.3368508938107455,success
HOBBIES_1_256,4,LightGBM,1.8216457124717382,5.453630979102058,success
HOBBIES_1_256,4,StackingEnsemble,1.8216457124717391,5.453630979102054,success
HOBBIES_1_256,5,SARIMAX,4.761842886573614,6.692053212001329,success
HOBBIES_1_256,5,LSTM,5.236053466796875,6.770855368553888,success
HOBBIES_1_256,5,LightGBM,1.7501860929009005,5.282396118424704,success
HOBBIES_1_256,5,StackingEnsemble,1.8000264429684145,5.134346442641912,success
